pub_date,text,sentiment,sentiment_score
2000-02-03 05:00:00+00:00,"Hospitals nationwide, faced with growing concern about sometimes fatal medical errors, are increasingly turning to computers for timely safety check; LDS Hospital in Salt Lake City is in vanguard, one of handful of medical centers that have spent several years developing electronic systems that make treatments safer and more effective; but big New York medical centers are also in thick of trend; at least dozen technology companies, like Cerner and McKesson HBOC, are selling off-the-shelf versions of systems; many have been developed at teaching hospitals; they include Internet links to doctor's laptop, advice-giving software equipped with artificial intelligence, wireless devices that transmit medical orders and bar-code systems to avoid drug errors; computer systems developed by Cerner, Eclipsys Corp and Shared Medical Systems Corp discussed; graphs; photos (M) Every morning, Stan Pestotnik, a pharmacist, studies reports on several dozen patients at LDS Hospital, one of the nation's most technologically advanced hospitals. He zeros in on two or three who have been flagged by a computer as dangerously close to being harmed by medications they are taking. Hospitals nationwide, faced with growing concern about sometimes fatal medical errors, are increasingly turning to computers for timely safety check; LDS Hospital in Salt Lake City is in vanguard, one of handful of medical centers that have spent ... {'main': 'Corrective Medicine; New Technology Helps Health Care Avoid Mistakes', 'kicker': None, 'content_kicker': None, 'print_headline': 'Corrective Medicine; New Technology Helps Health Care Avoid Mistakes', 'name': None, 'seo': None, 'sub': None}",neutral,0.6770499
2000-06-18 05:00:00+00:00,"Gerald Jonas reviews books Evolution's Darling by Scott Westerfeld; The Jazz by Melissa Scott; The Return by Buzz Aldrin and John Barnes; and White Mars: Or, The Mind Set Free: A 21st Century Utopia by Brian W Aldiss with Roger Penrose (M) The prologue to EVOLUTION'S DARLING (Four Walls Eight Windows, paper, $15.95), by Scott Westerfeld, is breathtaking. Rathere, the 14-year-old daughter of a space-roving journalist, has trouble getting her father's attention. Her constant companion is an Artificial Intelligence (A.I.) with so much computing capacity that it can pilot a starship, baby-sit for Rathere and ponder the mysteries of the universe at the same time. The danger, for Rathere's financially strapped father, is that the A.I. will raise its ''Turing Quotient'' to 1.0, which would make it, in the eyes of the law, an independent person rather than a useful piece of property. Realizing that his daughter's relationship with the A.I. is driving the machine toward sentience, the father separates them. Rathere fights back in the only way she can. To nudge the A.I. over the threshold to personhood, she makes love to it -- in a scene of eerie beauty that begins with the words, ''It's me, darling.'' Gerald Jonas reviews books Evolution's Darling by Scott Westerfeld; The Jazz by Melissa Scott; The Return by Buzz Aldrin and John Barnes; and White Mars: Or, The Mind Set Free: A 21st Century Utopia by Brian W Aldiss with Roger Penrose (M) {'main': 'Science Fiction', 'kicker': None, 'content_kicker': None, 'print_headline': 'Science Fiction', 'name': None, 'seo': None, 'sub': None}",neutral,0.63741136
2000-07-25 05:00:00+00:00,"Dr David B Fogel describes how computer program called neural network he created with Kumar Chellapilla used rules of checkers to teach itself to become expert, but not perfect, at game, Evolutionary Computation Congress, San Diego; program used electronic form of natural selection, with versions that chronically lost games killed off and those that survived allowed to reproduce slightly mutated versions; work shows computers can be designed to solve problems without intervention of human programmers; photos (M) Ever since an I.B.M. computer defeated Garry Kasparov, the world chess champion, in 1997, much of the suspense has gone out of the old battle of man versus machine: the machine won. But the lessons of a much humbler game have again made that battle fascinating. The game is, of all things, checkers. Dr David B Fogel describes how computer program called neural network he created with Kumar Chellapilla used rules of checkers to teach itself to become expert, but not perfect, at game, Evolutionary Computation Congress, San Diego; program used e... {'main': ""It's Only Checkers, but the Computer Taught Itself"", 'kicker': None, 'content_kicker': None, 'print_headline': ""It's Only Checkers, but the Computer Taught Itself"", 'name': None, 'seo': None, 'sub': None}",neutral,0.5950805
2000-07-29 05:00:00+00:00,"Correction of July 17 article on Microsoft's plans for new software technologies, regarding company's relationship to artificial intelligence company mentioned in article An article in Business Day on July 17 about Microsoft's plans for new software technologies to manage information overload misstated the company's relationship to an artificial intelligence company, Knowledge Industries. While Microsoft bought parts of it in 1993, the company remains independent; it was not wholly acquired. Correction of July 17 article on Microsoft's plans for new software technologies, regarding company's relationship to artificial intelligence company mentioned in article {'main': 'Corrections', 'kicker': None, 'content_kicker': None, 'print_headline': 'Corrections', 'name': None, 'seo': None, 'sub': None}",neutral,0.569639
2000-09-10 05:00:00+00:00,"London Science Museum opens addition that explores such topics as genetics, digital technology and artificial intelligence; photo (M) London's Science Museum has recently opened a 107,640-square-foot addition that explores such topics as genetics, digital technology and artificial intelligence. Designed by MacCormac Jamieson Prichard, the four floors of the new Wellcome Wing contain six exhibition areas and a 450-seat Imax theater. London Science Museum opens addition that explores such topics as genetics, digital technology and artificial intelligence; photo (M) {'main': 'London Museum Addresses Digital Age', 'kicker': 'TRAVEL ADVISORY', 'content_kicker': None, 'print_headline': 'TRAVEL ADVISORY; London Museum Addresses Digital Age', 'name': None, 'seo': None, 'sub': None}",neutral,0.8194398
2000-09-12 05:00:00+00:00,"Zoesis Studios is starting Web site for interactive cartoon characters imbued with behavior that mimics human emotion; eventually hopes to create new medium of interactive entertainment parallel to television; drawing (M) In an effort to fuse entertainment, education and artificial intelligence, a company in Newton, Mass., is starting a Web site of interactive cartoon characters imbued with behavior that mimics human emotion. Zoesis Studios is starting Web site for interactive cartoon characters imbued with behavior that mimics human emotion; eventually hopes to create new medium of interactive entertainment parallel to television; drawing (M) {'main': 'Web Site Offers Cartoons That Interact, With Feeling', 'kicker': 'TECHNOLOGY', 'content_kicker': None, 'print_headline': 'TECHNOLOGY; Web Site Offers Cartoons That Interact, With Feeling', 'name': None, 'seo': None, 'sub': None}",neutral,0.6138273
2000-10-31 05:00:00+00:00,"Researchers digging in remains of ancient settlement in Panama uncover tiny grains of starch that they say are earliest direct evidence of cultivation of root crops in Americas; engineers responsible for first trans-Atlantic flight by a robotic aircraft plan to try similar trip across Pacific; astronomers discover four new moons around Saturn, putting it ahead of Uranus (M) Ancient Morsels Researchers digging in remains of ancient settlement in Panama uncover tiny grains of starch that they say are earliest direct evidence of cultivation of root crops in Americas; engineers responsible for first trans-Atlantic flight by a robotic ai... {'main': 'OBSERVATORY', 'kicker': None, 'content_kicker': None, 'print_headline': 'OBSERVATORY', 'name': None, 'seo': None, 'sub': None}",neutral,0.7711706
2000-11-07 05:00:00+00:00,"Interview with Dr Anne Foerst, researcher at Artificial Ingelligence Laboratory at Massachusetts Institute of Technology, and director of MIT's God and Computers project; Foerst, a Lutheran minister, says laboratory is trying to build robots that are social and embodied; photos (L) Dr. Anne Foerst, 34, a researcher at the Artificial Intelligence Laboratory at the Massachusetts Institute of Technology and the director of M.I.T.'s God and Computers project, apologized on a recent afternoon that a certain robot named Kismet wouldn't be joining our interview. Interview with Dr Anne Foerst, researcher at Artificial Ingelligence Laboratory at Massachusetts Institute of Technology, and director of MIT's God and Computers project; Foerst, a Lutheran minister, says laboratory is trying to build robots that ... {'main': 'Do Androids Dream? M.I.T. Working on It', 'kicker': 'A CONVERSATION WITH: ANNE FOERST', 'content_kicker': None, 'print_headline': 'A CONVERSATION WITH: ANNE FOERST; Do Androids Dream? M.I.T. Working on It', 'name': None, 'seo': None, 'sub': None}",neutral,0.6791543
2000-11-16 05:00:00+00:00,"My Real Baby, animatronic doll priced at $100, was developed by iRobot working with Hasbro; Dr Rodney Brooks, chairman of iRobot, talks about My Real Baby doll and what it can do; photo (M) RODNEY BROOKS, the 45-year-old director of the Artificial Intelligence Laboratory at the Massachusetts Institute of Technology, has spent most of his career engrossed in the question of how to model biological systems. A native of Adelaide, Australia, Dr. Brooks started out as a theoretical mathematician, then switched to artificial intelligence and worked in the artificial intelligence lab at Stanford University before moving to M.I.T. My Real Baby, animatronic doll priced at $100, was developed by iRobot working with Hasbro; Dr Rodney Brooks, chairman of iRobot, talks about My Real Baby doll and what it can do; photo (M) {'main': 'A Robot That Coos, Cries and Knows When It Needs a New Diaper', 'kicker': None, 'content_kicker': None, 'print_headline': 'A Robot That Coos, Cries and Knows When It Needs a New Diaper', 'name': None, 'seo': None, 'sub': None}",neutral,0.79009783
2000-12-28 05:00:00+00:00,"In this lesson, students will learn about the developing field of artificial intelligence and create a blueprint for their own devices based on artificial intelligence technology. Note: This lesson was originally published on an older version of The Learning Network; the link to the related Times article will take you to a page on the old site. In this lesson, students will learn about the developing field of artificial intelligence and create a blueprint for their own devices based on artificial intelligence technology. {'main': 'It’s Alive!', 'kicker': 'The Learning Network', 'content_kicker': None, 'print_headline': '', 'name': None, 'seo': None, 'sub': None}",neutral,0.77488935
